entry_threshold,exit_threshold,exit_prob_drop,min_hold_bars,max_hold_seconds,stop_loss_pct,take_profit_pct,max_spread_bps,trades,wins,pnl,pnl_perc,sharpe,max_drawdown,profit_factor,median_trade,avg_trade,fraction_time_in_position,skipped_spread,skipped_sizing,skipped_other,exit_reasons,coverage
0.49,0.48,0.15,3,3600.0,0.004,,10,1623,665,4965014.197586122,49650.14197586122,9.53465247824344,3951.767637570506,68.36166197454932,-0.134640241275,3059.158470478204,0.56135,0,0,0,"{""stop_loss"": 767, ""gate_close"": 407, ""prob_floor"": 443, ""time_limit"": 2, ""prob_trailing"": 4}",0.38755
0.49,0.48,0.15,3,3600.0,0.004,0.0075,8,1714,858,8285744.7194022965,82857.44719402297,12.834793266328246,2120.48476013288,120.84800751800796,0.0009853565345029334,4834.1567791145235,0.5562,0,0,0,"{""stop_loss"": 718, ""take_profit"": 527, ""prob_floor"": 247, ""gate_close"": 220, ""time_limit"": 2}",0.38755
0.49,0.48,0.15,3,3600.0,0.004,0.0075,10,1714,858,8285744.7194022965,82857.44719402297,12.834793266328246,2120.48476013288,120.84800751800796,0.0009853565345029334,4834.1567791145235,0.5562,0,0,0,"{""stop_loss"": 718, ""take_profit"": 527, ""prob_floor"": 247, ""gate_close"": 220, ""time_limit"": 2}",0.38755
0.49,0.48,0.15,3,3600.0,0.005,,8,1623,665,4965014.197586122,49650.14197586122,9.53465247824344,3951.767637570506,68.36166197454932,-0.134640241275,3059.158470478204,0.56135,0,0,0,"{""stop_loss"": 765, ""gate_close"": 409, ""prob_floor"": 443, ""time_limit"": 2, ""prob_trailing"": 4}",0.38755
0.49,0.48,0.15,3,3600.0,0.005,,10,1623,665,4965014.197586122,49650.14197586122,9.53465247824344,3951.767637570506,68.36166197454932,-0.134640241275,3059.158470478204,0.56135,0,0,0,"{""stop_loss"": 765, ""gate_close"": 409, ""prob_floor"": 443, ""time_limit"": 2, ""prob_trailing"": 4}",0.38755
0.49,0.48,0.15,3,3600.0,0.005,0.0075,8,1714,858,8285744.7194022965,82857.44719402297,12.834793266328246,2120.48476013288,120.84800751800796,0.0009853565345029334,4834.1567791145235,0.5562,0,0,0,"{""stop_loss"": 716, ""take_profit"": 527, ""prob_floor"": 247, ""gate_close"": 222, ""time_limit"": 2}",0.38755
0.49,0.48,0.15,3,3600.0,0.005,0.0075,10,1714,858,8285744.7194022965,82857.44719402297,12.834793266328246,2120.48476013288,120.84800751800796,0.0009853565345029334,4834.1567791145235,0.5562,0,0,0,"{""stop_loss"": 716, ""take_profit"": 527, ""prob_floor"": 247, ""gate_close"": 222, ""time_limit"": 2}",0.38755
0.49,0.49,0.1,1,,0.004,,8,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1614, ""gate_close"": 714, ""prob_floor"": 625, ""prob_trailing"": 64}",0.38755
0.49,0.49,0.1,1,,0.004,,10,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1614, ""gate_close"": 714, ""prob_floor"": 625, ""prob_trailing"": 64}",0.38755
0.49,0.49,0.1,1,,0.004,0.0075,8,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1598, ""gate_close"": 380, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 13}",0.38755
0.49,0.49,0.1,1,,0.004,0.0075,10,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1598, ""gate_close"": 380, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 13}",0.38755
0.49,0.49,0.1,1,,0.005,,8,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1613, ""gate_close"": 715, ""prob_floor"": 625, ""prob_trailing"": 64}",0.38755
0.49,0.49,0.1,1,,0.005,,10,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1613, ""gate_close"": 715, ""prob_floor"": 625, ""prob_trailing"": 64}",0.38755
0.49,0.49,0.1,1,,0.005,0.0075,8,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1597, ""gate_close"": 381, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 13}",0.38755
0.49,0.49,0.1,1,,0.005,0.0075,10,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1597, ""gate_close"": 381, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 13}",0.38755
0.49,0.49,0.1,1,3600.0,0.004,,8,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1614, ""gate_close"": 714, ""prob_floor"": 625, ""prob_trailing"": 63, ""time_limit"": 1}",0.38755
0.49,0.49,0.1,1,3600.0,0.004,,10,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1614, ""gate_close"": 714, ""prob_floor"": 625, ""prob_trailing"": 63, ""time_limit"": 1}",0.38755
0.49,0.49,0.1,1,3600.0,0.004,0.0075,8,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1597, ""gate_close"": 380, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 12, ""time_limit"": 2}",0.38755
0.49,0.49,0.1,1,3600.0,0.004,0.0075,10,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1597, ""gate_close"": 380, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 12, ""time_limit"": 2}",0.38755
0.49,0.49,0.1,1,3600.0,0.005,,8,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1613, ""gate_close"": 715, ""prob_floor"": 625, ""prob_trailing"": 63, ""time_limit"": 1}",0.38755
0.49,0.49,0.1,1,3600.0,0.005,,10,3017,1106,10781251.399158213,107812.51399158213,14.065868325240507,6844.07046475633,70.13839040967272,-95.377517620728,3573.500629485649,0.39705,0,0,0,"{""stop_loss"": 1613, ""gate_close"": 715, ""prob_floor"": 625, ""prob_trailing"": 63, ""time_limit"": 1}",0.38755
0.49,0.49,0.1,1,3600.0,0.005,0.0075,8,3402,1575,19546168.005491115,195461.68005491115,19.700009975547225,3666.21715519391,127.74635505124905,-0.06969463880150313,5745.493240885092,0.36715,0,0,0,"{""stop_loss"": 1596, ""gate_close"": 381, ""take_profit"": 1134, ""prob_floor"": 277, ""prob_trailing"": 12, ""time_limit"": 2}",0.38755
